compound_id	compound_name	evidence_source	evidence_note
cpd00061	Phosphoenolpyruvate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00062	UTP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00063	Ca2+	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00064	Ornithine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00065	L-Tryptophan	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00066	L-Phenylalanine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00067	H+	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00068	ITP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00069	L-Tyrosine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00070	Malonyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00071	Acetaldehyde	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00072	D-fructose-6-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00073	Urea	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00074	S	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00075	Nitrite	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00076	Sucrose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00077	Catechol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00078	Succinyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00079	D-glucose-6-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00080	Glycerol-3-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00081	Sulfite	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00082	D-Fructose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00083	GDP-mannose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00084	L-Cysteine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00085	beta-Alanine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00086	Propionyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00087	Tetrahydrofolate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00088	2,6-dichloroindophenol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00089	Glucose-1-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00090	IDP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00091	UMP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00092	Uracil	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00093	Anthranilate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00094	2-Oxobutyrate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00095	Glycerone-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00096	CDP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00097	Pyrroloquinoline-quinone	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00098	Choline	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00099	Cl-	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00100	Glycerol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00101	ribose-5-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00102	Glyceraldehyde3-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00103	PRPP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00104	Biotin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00105	D-Ribose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00106	Fumarate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00107	L-Leucine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00108	Galactose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00109	Cytochrome c oxidized	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00110	Cytochrome c reduced	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00111	Oxidized glutathione	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00112	CMP-N-acetylneuraminate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00113	Isopentenyldiphosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00114	IMP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00115	dATP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00116	Methanol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00117	D-Alanine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00118	Putrescine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
